Date,Open,High,Low,Close
2021-09-08T14:38:00+0530,406.65,413.9,406.65,413.1
2021-09-08T14:39:00+0530,413.1,415.75,407.5,408.05
2021-09-08T14:40:00+0530,408.05,410.35,403,406.7
2021-09-08T14:41:00+0530,406.7,412.6,405.75,410.9
2021-09-08T14:42:00+0530,410.9,424.8,410.9,421.25
2021-09-08T14:43:00+0530,424.35,430.6,417,427.65
2021-09-08T14:44:00+0530,427.65,427.65,419.55,421.25
2021-09-08T14:45:00+0530,420.3,424.35,415.4,422
2021-09-08T14:46:00+0530,422,425.65,415,425.2
2021-09-08T14:47:00+0530,425,432.9,418.5,418.75
2021-09-08T14:48:00+0530,418.75,422.1,413.85,414.95
2021-09-08T14:49:00+0530,415.05,421.85,415.05,420
2021-09-08T14:50:00+0530,420,424.7,420,423
2021-09-08T14:51:00+0530,423.85,428.05,422.55,422.55
2021-09-08T14:52:00+0530,422.55,428.55,418.75,418.75
2021-09-08T14:53:00+0530,418.75,423,415,420.9
2021-09-08T14:54:00+0530,420.9,424.75,419.45,423.25
2021-09-08T14:55:00+0530,423.25,426,420,422.65
2021-09-08T14:56:00+0530,422.65,437.4,422,432.5
2021-09-08T14:57:00+0530,432.75,439.1,431,432.9
2021-09-08T14:58:00+0530,432.9,435,428.3,435
2021-09-08T14:59:00+0530,435,450,434.95,439.75
2021-09-08T15:00:00+0530,441.3,457.45,441.3,450.45
2021-09-08T15:01:00+0530,451.65,455.35,445.9,455.05
2021-09-08T15:02:00+0530,455.05,460,451.95,455
2021-09-08T15:03:00+0530,455,459.1,450.95,451.1
2021-09-08T15:04:00+0530,451.75,455.85,445.15,449.95
2021-09-08T15:05:00+0530,450,453.5,438.25,444.9
2021-09-08T15:06:00+0530,444.9,452.3,444.9,449.65
2021-09-08T15:07:00+0530,450,454.95,445,454.95
2021-09-08T15:08:00+0530,455,457.75,452.75,455.55
2021-09-08T15:09:00+0530,455.55,455.55,446.15,451.9
2021-09-08T15:10:00+0530,453.4,457,449,449
2021-09-08T15:11:00+0530,449,452.15,449,451.05
2021-09-08T15:12:00+0530,450.35,457,450.35,452.15
2021-09-08T15:13:00+0530,452.15,457,452.1,454.4
2021-09-08T15:14:00+0530,455,462.8,454.4,462.8
2021-09-08T15:15:00+0530,462.8,471.55,462.5,464.95
2021-09-08T15:16:00+0530,466.9,471.25,464.95,470.65
2021-09-08T15:17:00+0530,470.65,471.25,463.45,465.8
2021-09-08T15:18:00+0530,465.8,470,465.5,470
2021-09-08T15:19:00+0530,470,472.05,468,468.75
2021-09-08T15:20:00+0530,468.75,480,468.75,476.05
2021-09-08T15:21:00+0530,477.85,482.45,473.35,475.5
2021-09-08T15:22:00+0530,475.5,482.15,475.5,482.15
2021-09-08T15:23:00+0530,481.75,484.05,480,482.75
2021-09-08T15:24:00+0530,482.25,489.55,482.1,489.55
2021-09-08T15:25:00+0530,489.2,497.85,489,494.95
2021-09-08T15:26:00+0530,494.95,505.3,494.95,503.05
2021-09-08T15:27:00+0530,505,505,500,503
2021-09-08T15:28:00+0530,505,505,500.3,504.55
2021-09-08T15:29:00+0530,504.55,513.8,502.3,505.55
